id,content,original
6,"Chào bạn! 👋

Cửa hàng Cris Store chuyên bán các sản phẩm **nội thất gia đình** bao gồm:

📺 **Kệ tivi**
🛋️ **Bàn trà, ghế sofa, ghế gỗ tái chế**
🍽️ **Bàn ăn**
🛏️ **Giường ngủ**
💄 **Bàn trang điểm**
🍳 **Tủ bếp**
🪑 **Bộ bàn ghế cao su tái chế**
🚗 **Bộ bàn ghế lốp xe tái chế**
🏡 **Xích đu sân vườn**
🌿 **Cây xanh trang trí từ chai nhựa tái chế**

Tất cả sản phẩm đều được làm từ **vật liệu thân thiện môi trường** 🌱

Bạn muốn tìm hiểu thêm về sản phẩm nào không?"
8,"Chào bạn! 👋

Dưới đây là thông tin về **Cris Store**:

---

**🏪 Cris Store - Nâng niu bàn chân Việt**

📍 **Địa chỉ:** Tọa lạc tại Đại học Công nghệ Đông Á

📞 **Hotline:** 19006750

📧 **Email:** quannguyen04082004@gmail.com

---

**🛋️ Sản phẩm chính:**
Cris Store chuyên bán các sản phẩm nội thất gia đình bao gồm:
- Kệ tivi, bàn trà, bàn ăn, giường ngủ, bàn trang điểm
- Tủ bếp, ghế sofa, ghế gỗ tái chế, xích đu sân vườn
- Cây xanh trang trí từ chai nhựa tái chế
- Bộ bàn ghế cao su tái chế, bộ bàn ghế lốp xe tái chế

♻️ *Tất cả sản phẩm đều được làm từ vật liệu thân thiện môi trường.*

---

**🚚 Chính sách vận chuyển:** Miễn phí giao hàng toàn quốc (3-7 ngày tùy khu vực)

**💳 Thanh toán:** COD & VNPay

**🔄 Đổi trả:** 7 ngày nếu lỗi từ nhà sản xuất

**🏷️ Thẻ thành viên:** Tích điểm & đổi quà

Bạn cần biết thêm thông tin gì nữa không? 😊"
10,"Có bạn! 👋

Cris Store **có bán bàn giường ngủ** nhé! 🛏️

Cửa hàng chuyên bán các sản phẩm nội thất gia đình bao gồm:

- **Giường ngủ** ✅
- Kệ tivi, bàn trà, bàn ăn
- Bàn trang điểm, tủ bếp
- Ghế sofa, ghế gỗ tái chế
- Xích đu sân vườn
- Cây xanh trang trí từ chai nhựa tái chế
- Bộ bàn ghế cao su tái chế, bộ bàn ghế lốp xe tái chế

♻️ Tất cả sản phẩm đều được làm từ vật liệu thân thiện môi trường.

Bạn muốn biết thêm thông tin chi tiết về sản phẩm nào cụ thể không? 😊"
14,"Xin chào bạn! 👋

Hiện tại mình chưa có thông tin cụ thể về các chương trình khuyến mãi đang diễn ra tại Cris Store.

Bạn có thể liên hệ trực tiếp với Cris Store để được cập nhật ưu đãi mới nhất:

- **Hotline:** 19006750
- **Email:** quannguyen04082004@gmail.com
- **Địa chỉ:** Đại học Công nghệ Đông Á

Bạn còn cần mình hỗ trợ gì không? 😊"
16,"Xin chào bạn! 👋

Mình là trợ lý của **Cris Store** - cửa hàng chuyên bán nội thất gia đình.

**Về Cris Store:**
- 📍 Địa chỉ: Tọa lạc tại Đại học Công nghệ Đông Á
- 📞 Hotline: **1900 6750**
- 📧 Email: quannguyen04082004@gmail.com

**Sản phẩm chính:**
Cris Store chuyên cung cấp các sản phẩm nội thất gia đình bao gồm:
- Kệ tivi, bàn trà, bàn ăn
- Giường ngủ, bàn trang điểm
- Tủ bếp, ghế sofa, ghế gỗ tái chế
- Xích đu sân vườn, cây xanh trang trí từ chai nhựa tái chế
- Bộ bàn ghế cao su tái chế, bộ bàn ghế lốp xe tái chế

👉 Tất cả sản phẩm đều được làm từ **vật liệu thân thiện môi trường**.

**Chính sách nổi bật:**
- 🚚 Miễn phí giao hàng toàn quốc (đơn từ 500.000đ)
- 🔄 Đổi mới trong 7 ngày nếu sản phẩm lỗi
- 💳 Thanh toán COD hoặc online qua VNPay
- 🎁 Có thẻ thành viên tích lũy điểm

Bạn muốn tìm hiểu thêm về sản phẩm nào hoặc cần hỗ trợ gì ạ? 😊"
17,Cửa hàng bạn bán những sản phẩm nào?
18,"Chào bạn! 😊

**Cris Store** chuyên bán các sản phẩm **nội thất gia đình**, bao gồm:

🪑 **Bàn ghế:**
- Kệ tivi, bàn trà, bàn ăn
- Ghế sofa, ghế gỗ tái chế
- Bộ bàn ghế cao su tái chế, bộ bàn ghế lốp xe tái ché

🛏️ **Giường & Tủ:**
- Giường ngủ, bàn trang điểm, tủ bếp

🌿 **Trang trí & Ngoại thất:**
- Xích đu sân vườn
- Cây xanh trang trí từ chai nhựa tái chế

👉 **Đặc biệt:** Tất cả sản phẩm đều được làm từ **vật liệu thân thiện môi trường** 🌱

Bạn quan tâm đến sản phẩm nào cụ thể không ạ? Mình có thể tư vấn thêm cho bạn!"
19,Cửa hàng của bạn bán những sản phẩm nào?
20,"Chào bạn! 😊

**Cris Store** chuyên bán các sản phẩm **nội thất gia đình**, bao gồm:

🪑 **Bàn ghế:**
- Kệ tivi, bàn trà, bàn ăn
- Ghế sofa, ghế gỗ tái chế
- Bộ bàn ghế cao su tái chế, bộ bàn ghế lốp xe tái ché

🛏️ **Giường & Tủ:**
- Giường ngủ, bàn trang điểm, tủ bếp

🌿 **Trang trí & Ngoại thất:**
- Xích đu sân vườn
- Cây xanh trang trí từ chai nhựa tái chế

👉 **Đặc biệt:** Tất cả sản phẩm đều được làm từ **vật liệu thân thiện môi trường** 🌱

Bạn quan tâm đến sản phẩm nào cụ thể không ạ? Mình có thể tư vấn thêm cho bạn!"
21,hãy xuất file excle báo giá 1 vài sản phẩm nổi bật
22,⚠️ Không thể kết nối tới máy chủ AI.
